,pid,ASIN,product_name,review,rating,img_link
0,0,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml","Best body lotion with spf, i have ever tried.. Makes ur skin healthy and non greasy.Happy to buy it.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71vevM78d9L.jpg
1,1,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Is it original or not? No front level sticker.,3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71GcVcxZaGL.jpg,https://images-na.ssl-images-amazon.com/images/I/71qzXyWxvBL.jpg"
2,2,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Smell really nice...Packaging is low quality..product may damageSeller take precaution it for satisfy customer...,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/712Ivxm4TjL.jpg
3,3,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Fake product.. I think its fevicol.... Fakeeee.... Not satisfied...😡😡😡😡,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71BfgJzHcYL.jpg,https://images-na.ssl-images-amazon.com/images/I/71vzK160sfL.jpg"
4,4,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Great deal 👍,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61f8iRqeINL.jpg
5,5,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Very good product,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/714ReVOjADL.jpg,https://images-na.ssl-images-amazon.com/images/I/71obthY6c7L.jpg"
6,6,B07W7D9NSB,"Vaseline Sun + Pollution Protection SPF 30 Body Lotion, 400 ml",Not good,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71Nd6SPblRL.jpg
7,7,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","I bought a pack of two, comes in a nice packaging.Product is original and helps to restore your body cells also it's lasts for at least 6-7hours honestly.Please guys make sure the neck of bottle and the pump works properly because when i tested it the pump literally came out into my hand.I just suggest you to open it well😬.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71JcE56LZ9L.jpg
8,8,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Superb product...packaging was super safe and nice that's why I love amazon❤ Cuz it never gives a single chance of disappointment to it's customer 👌,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71Kj4r4EuoL.jpg,https://images-na.ssl-images-amazon.com/images/I/71QXw-0vzBL.jpg"
9,9,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",The purpose of using this product is that its smell doesn't irritate me like other body lotions.  It's good but yes you need to moisturize twice a day. It doesn't last that long.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61vZnmQvpSL.jpg,https://images-na.ssl-images-amazon.com/images/I/712gPbM97hL.jpg"
10,10,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Looking for a good moisturiser, This one is great!Intensive care deep restore is a really-really good moisturiser!- Good for both oily and dry skin.- Stays on for more than 24hours, better to use when skin is wet as moisturiser absorbs well and you don’t need much of the product and doesn’t feel greasy.- Leaves your skin moisturised, soft and supple.- Doesn’t even clog the pores and let your skin breath too.-Have a nice and mild smell.-Colour is whitish lemon.- I would really recommend it to those who would live to have a good body moisturiser for all seasons 😊- Is also available in small and big size too.- Time to time you get discounts for upto 10-15% or even more at times when there’s sale.- It’s a unisex product.",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71AzpnM9heL.jpg,https://images-na.ssl-images-amazon.com/images/I/71FInxwQN2L.jpg,https://images-na.ssl-images-amazon.com/images/I/71nFSBZUuwL.jpg"
11,11,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very Good product and moisturize the body for almost 6-7 hours and the smell of this moisturizer is also good and i found this better than any other moisturizer. New design and packing of this product is really awesome.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/614xNF1n6TL.jpg,https://images-na.ssl-images-amazon.com/images/I/615pKetT3jL.jpg,https://images-na.ssl-images-amazon.com/images/I/71P3906LKaL.jpg"
12,12,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","The said product is one of the best and cheap Moisturizer available in market because it is continously used by my family for a long time. It is very familiar to me. Good thing of this moisturizer cream is that it spreads on skin easily due to it's softness, scent is also good and there is no any side effect on skin. It gives relief from dry skin for 3-4 hours in winter and more  during summer. It can be used regularly during all seasons. I purchased it twice from online due to less price than market. Quality of online purchased moisturizer found good and same as market buy.Bad point- Not observed till now. It will be mentioned if found any bad point found in future.",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71425MjxQoL.jpg,https://images-na.ssl-images-amazon.com/images/I/71CMglx+MBL.jpg"
13,13,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Damage product received.Need to replace this product.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/51BvAKjaDJL.jpg,https://images-na.ssl-images-amazon.com/images/I/51m9SgZouML.jpg"
14,14,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Fresh new and original product...I love amazon... 💎✨💕🥰😘New packaging... Easy delevry...It's so good.... 400ml Vaseline body lotion...Intensive care.... Deep restore...Love you amazon...,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/81LNStj8lTL.jpg
15,15,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very nice product.Moisturizes your skin deeply.Good for people with Dry skinI got this for just ₹185 only.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61G0Zbov8WL.jpg,https://images-na.ssl-images-amazon.com/images/I/61R9F415B2L.jpg,https://images-na.ssl-images-amazon.com/images/I/71Y+s18wzTL.jpg"
16,16,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Vaseline body lotions is the best amongst all. It really provide moisturizer through out the day in winters.. It's fragrance is really awesome.,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71YKTvR3kBL.jpg
17,17,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Well, I never used Vaseline's body lotions before but I must tell you that not just its fragrance is too good as well as this thick lotion gets absorbed in your body and stays longer than the others.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61ycohYQXIL.jpg
18,18,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",The DISPENSER of one unit is badly broken.  Please share a video on how to use the lotion from a broken bottle.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61+ZOo6j9UL.jpg,https://images-na.ssl-images-amazon.com/images/I/61hhnDgBoHL.jpg,https://images-na.ssl-images-amazon.com/images/I/61xOEgzSbUL.jpg"
19,19,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",One the best moisturiser ever. The scent is very good. Long lasting and not too greasy. Perfect consistency.,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/619jHs-9ekL.jpg,https://images-na.ssl-images-amazon.com/images/I/61Jrs9qTFxL.jpg,https://images-na.ssl-images-amazon.com/images/I/61M8oJzLXlL.jpg"
20,20,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Good product and cost is very lower then all market,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/717n2Un5zkL.jpg,https://images-na.ssl-images-amazon.com/images/I/71pSQjs3O0L.jpg"
21,21,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Good Product overall.#Longlastisng#Deep Moisturizing#Scent#Value For MoneyRating 8.5/10,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61e2QZ8iEeL.jpg,https://images-na.ssl-images-amazon.com/images/I/71ea0kUcY8L.jpg"
22,22,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Had ordered 2 of them. One was fine but another had broken cap and white tape was applied on that. It was delivered knowingly and seller's standard is very low (knowing product is non-return/replace) that they can't respect customer.,3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/51DEo0B1JxL.jpg,https://images-na.ssl-images-amazon.com/images/I/51QI-krD+RL.jpg"
23,23,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",There is no problem in the product. But the packing was very bad. Parcel received in totally loose condition and the bottle is approximately half leakage.,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/713w24WgDcL.jpg,https://images-na.ssl-images-amazon.com/images/I/71EWx3UHlaL.jpg,https://images-na.ssl-images-amazon.com/images/I/71bkZSBlmcL.jpg,https://images-na.ssl-images-amazon.com/images/I/71jyV9BLZ7L.jpg"
24,24,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Very poor quality and already it was open  no seal given...half of lotion gone out never aspect from Amazon,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71Ecrdf-FcL.jpg
25,25,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Really Very moisturizing....this product very good for skin... such a amazing product I love it,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/712PqrdqH6L.jpg
26,26,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Received it a day before nd m very much satisfied with the way it was packaged. Got it without any product issues...no leakage,no bottle breaking problems.",4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71xBUNJqBhL.jpg
27,27,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml","Good Product, its work on winter...On time Delivery...",5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61oagG0WQyL.jpg,https://images-na.ssl-images-amazon.com/images/I/71CR2THjH1L.jpg"
28,28,B07WQX6GD2,"Vaseline Intensive Care Deep Restore Body Lotion, 400 ml",Excellant Designed Bottle and Nice Pump Type . Perfect handoff in good condition .,5.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61pMYPsqKnL.jpg,https://images-na.ssl-images-amazon.com/images/I/61pNqPdL-qL.jpg,https://images-na.ssl-images-amazon.com/images/I/61tw-Q2w5EL.jpg"
29,29,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml",Fully damaged product delivered,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71xC6EGrUwL.jpg
30,30,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml","The cap came off.Pump is not working no matter how many times I push it.But the smell is good.Not too strong to cause headache,not too weak.You can sniff  it when you keep your nose near the body part where you applied.I got it yesterday so I can't tell about it's whitening effect yet.Overall it's good",3.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/710xwuJ6HbL.jpg,https://images-na.ssl-images-amazon.com/images/I/7147dehdl+L.jpg"
31,31,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml","First of all let me tell if u see reviews of this product maximum pepl have posted pics wd the cap open, broken, spillage in thr packaging box. I don't know if that's true. But as it shows in my pic i got the product delivered in perfect shape n no cracks n cuts in the bottle. The bottle was  sealed perfectly so that there's no spillage.The scent is mild non irritating n soft n non greasy.So i guess m always lucky wn its amazon. I always prefer amazon coz they deliver the exact product in image shown. Wd oroer package n perfect in shape until it recahes u .Thanks",5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/71qo5UxbBgL.jpg
32,32,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml","I like this product and this is the cheap & best body lotion for summer. I received this product in 287 rupees.  Amazon give very fast  delivery and product condition is good, So thanks.",4.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/71+Ge0GbCJL.jpg,https://images-na.ssl-images-amazon.com/images/I/713hlkmiRxL.jpg,https://images-na.ssl-images-amazon.com/images/I/71FiXBjC8ML.jpg"
33,33,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml",Totally disappointed this package shelld open over flow the package,1.0 out of 5 stars,"https://images-na.ssl-images-amazon.com/images/I/61cwoZg9pLL.jpg,https://images-na.ssl-images-amazon.com/images/I/71FzjlR3kOL.jpg"
34,34,B07W67Z3P7,"Vaseline Healthy Bright Complete 10 Body Lotion, 400 ml",It really works for sun tan,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/I/61wm9fKhH6L.jpg
